,units,NSP,RS,Sugars,Acetate,H2,CO2,Formate,H2O
Rtype,none,S,S,S,P,X,X,X,X
halfSat,g/l,0.001,0.001,0.001,NA,NA,NA,NA,NA
yield,g/g,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate,/d,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom,moles,1,1,1,3,NA,NA,NA,NA
keyResource,none,NA,,,,,,,
numPathways,none,3,,,,,,,
Rtype.2,none,X,X,X,P,Se,Se,X,P
halfSat.2,g/l,NA,NA,NA,NA,0.001,0.001,NA,NA
yield.2,g/g,NA,NA,NA,NA,NA,0.03,NA,NA
maxGrowthRate.2,/d,NA,NA,NA,NA,NA,2.4,NA,NA
stoichiom.2,moles,NA,NA,NA,1,4,2,NA,2
keyResource.2,none,CO2,,,,,,,
Rtype.3,none,S,S,S,P,P,P,Se,X
halfSat.3,g/l,0.001,0.001,0.001,NA,NA,NA,0.001,NA
yield.3,g/g,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate.3,/d,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom.3,moles,1,1,1,3,2,2,2,NA
keyResource.3,none,Hex,,,,,,,
pHcorners,pHunits,5.25,6,7.5,8.25,,,,
