,units,Protein,NSP,RS,Acetate,Propionate,Succinate,H2,CO2,other
Rtype,none,X,S,S,P,P,P,P,P,X
halfSat,g/l,NA,0.001,0.001,NA,NA,NA,NA,NA,NA
yield,g/g,NA,0.286,0.333,NA,NA,NA,NA,NA,NA
maxGrowthRate,/d,NA,12,24,NA,NA,NA,NA,NA,NA
stoichiom,mol,NA,2,2,2,1,1,2,1,NA
keyResource,none,NA,,,,,,,,
pHcorners,pH,5.6,6.35,7.85,8.6,,,,,
numPathways,none,2,,,,,,,,
Rtype.2,none,S,X,X,P,P,P,P,P,P
halfSat.2,g/l,0.001,NA,NA,NA,NA,NA,NA,NA,NA
yield.2,g/g,0.2,NA,NA,NA,NA,NA,NA,NA,NA
maxGrowthRate.2,/d,24,NA,NA,NA,NA,NA,NA,NA,NA
stoichiom.2,mol,3,NA,NA,2,1,1,2,1,1
keyResource.2,none,NA,,,,,,,,
